date,BTC_price,ETH_price,BNB_price
2018-08-26,6707.259765625,275.1969909667969,10.185600280761719
2018-08-27,6884.64013671875,285.6029968261719,11.212800025939941
2018-08-28,7096.27978515625,296.4989929199219,11.486100196838379
2018-08-29,7047.16015625,289.31201171875,11.173500061035156
2018-08-30,6978.22998046875,284.1050109863281,10.76259994506836
2018-08-31,7037.580078125,283.0039978027344,11.013799667358398
2018-09-01,7193.25,295.34100341796875,11.379400253295898
2018-09-02,7272.72021484375,294.3710021972656,11.299400329589844
2018-09-03,7260.06005859375,289.2590026855469,11.261099815368652
2018-09-04,7361.66015625,285.7229919433594,11.359199523925781
2018-09-05,6792.830078125,232.33099365234375,10.086600303649902
2018-09-06,6529.169921875,230.21499633789062,10.284199714660645
2018-09-07,6467.06982421875,217.2030029296875,10.037300109863281
2018-09-08,6225.97998046875,197.9510040283203,9.520079612731934
2018-09-09,6300.85986328125,196.9239959716797,9.512630462646484
2018-09-10,6329.7001953125,197.07899475097656,9.524869918823242
2018-09-11,6321.2001953125,185.0659942626953,9.3739595413208
2018-09-12,6351.7998046875,183.33099365234375,9.21442985534668
2018-09-13,6517.31005859375,211.35400390625,9.604060173034668
2018-09-14,6512.7099609375,211.74899291992188,9.930049896240234
2018-09-15,6543.2001953125,223.07400512695312,10.110300064086914
2018-09-16,6517.18017578125,220.58900451660156,9.936019897460938
2018-09-17,6281.2001953125,197.875,9.40526008605957
2018-09-18,6371.2998046875,209.97500610351562,9.544059753417969
2018-09-19,6398.5400390625,209.968994140625,9.61909008026123
2018-09-20,6519.669921875,224.59100341796875,10.07450008392334
2018-09-21,6734.9501953125,246.58399963378906,10.410799980163574
2018-09-22,6721.97998046875,240.47999572753906,10.244999885559082
2018-09-23,6710.6298828125,244.3300018310547,10.280599594116211
2018-09-24,6595.41015625,228.72999572753906,10.035900115966797
2018-09-25,6446.47021484375,218.5050048828125,9.783160209655762
2018-09-26,6495.0,215.8470001220703,9.7366304397583
2018-09-27,6676.75,228.49400329589844,10.031200408935547
2018-09-28,6644.1298828125,222.40199279785156,9.969340324401855
2018-09-29,6601.9599609375,231.63499450683594,9.999139785766602
2018-09-30,6625.56005859375,232.84800720214844,10.017800331115723
2018-10-01,6589.6201171875,230.76800537109375,9.943659782409668
2018-10-02,6556.10009765625,227.18099975585938,10.356800079345703
2018-10-03,6502.58984375,220.48899841308594,10.271200180053711
2018-10-04,6576.68994140625,222.21800231933594,10.255599975585938
2018-10-05,6622.47998046875,227.6009979248047,10.636199951171875
2018-10-06,6588.31005859375,225.1199951171875,10.372099876403809
2018-10-07,6602.9501953125,226.11900329589844,10.519000053405762
2018-10-08,6652.22998046875,229.2550048828125,10.506600379943848
2018-10-09,6642.64013671875,227.98199462890625,10.384900093078613
2018-10-10,6585.52978515625,225.7689971923828,10.32800006866455
2018-10-11,6256.240234375,189.49899291992188,9.30132007598877
2018-10-12,6274.580078125,196.7270050048828,9.528940200805664
2018-10-13,6285.990234375,199.84100341796875,9.540360450744629
2018-10-14,6290.93017578125,195.71499633789062,9.496740341186523
2018-10-15,6596.5400390625,209.70399475097656,10.316100120544434
2018-10-16,6596.10986328125,210.1199951171875,10.010899543762207
2018-10-17,6544.43017578125,207.08299255371094,9.904470443725586
2018-10-18,6476.7099609375,203.3520050048828,9.716580390930176
2018-10-19,6465.41015625,203.7270050048828,9.76675033569336
2018-10-20,6489.18994140625,205.42999267578125,9.754630088806152
2018-10-21,6482.35009765625,205.14199829101562,9.743300437927246
2018-10-22,6487.16015625,204.04400634765625,9.726849555969238
2018-10-23,6475.740234375,204.33599853515625,9.803079605102539
2018-10-24,6495.83984375,203.8520050048828,9.745320320129395
2018-10-25,6476.2900390625,202.718994140625,9.692279815673828
2018-10-26,6474.75,203.32899475097656,9.702679634094238
2018-10-27,6480.3798828125,204.2100067138672,9.654450416564941
